T: Index	pval	qval	log2fc	mean	zero_mean	zero_variance
Q2M2I8	0.5566460784650751	0.8374934174892765	0.0009666156176241284	20.44926260078304	False	False
P00519	0.25820727455200665	0.6534887978335885	-0.014781049910643208	18.582325370506044	False	False
P42684	0.7312044040384417	0.9101620559492812	0.0008351319749595402	19.671950172786733	False	False
Q04771	0.7519057210393729	0.9141522842029433	-0.0011694790610593505	20.040212634107927	False	False
P36896	0.03336082293629474	0.40494099873086986	-0.038982487410432275	16.369764242918478	False	False
Q86TW2	0.7944723599585548	0.9288999888447518	-0.0015463456547049907	19.415625206966627	False	False
Q3MIX3	0.13276964157477303	0.5507570199544956	-0.007954483730388245	19.596125182289512	False	False
P31749	0.12471669589604512	0.5422132266070981	0.004120417158420396	23.126400015798403	False	False
P31751	0.5479046061533435	0.8317447842879842	-0.0017129941746292458	23.830912509630505	False	False
Q9Y243	0.0024008895248909786	0.30027542009913977	0.015494462426791077	19.40246270889969	False	False
Q96QP1	0.05250442917023659	0.4473829099576236	-0.019033451988576183	16.907063681860933	False	False
P10398	0.13626278276966539	0.5548948131725615	-0.0029206790555662463	22.848050019108275	False	False
Q13315	0.14129500161779793	0.5615440467289535	-0.004304943840478193	20.890625074295748	False	False
Q13535	0.46340609854025205	0.7861168066922143	-0.0018280413856163462	20.700137584729383	False	False
O14965	0.3350922565400777	0.7018062896796836	0.004809733168365005	23.64818751123898	False	False
Q96GD4	0.3167990054757243	0.6888331137814786	0.006421042270652695	21.06148756611487	False	False
P30530	0.26604629064544866	0.6586420002003982	0.0034577356168187727	20.73455008276686	False	False
O14874	0.5984876452936023	0.8546208658746123	0.001166085977149499	20.531537595309562	False	False
P11274	0.9255153407149238	0.9792013221109748	0.0004387238190069505	20.10378762819144	False	False
Q9NSY1	0.03983290257346056	0.4227819791910895	-0.01709907555686395	17.66806319567368	False	False
O00238	0.5321147955195635	0.8233472262529934	0.002648587684683277	19.428587704681032	False	False
Q13873	0.7839889337817647	0.9251804446705397	0.0011121524559890804	20.41140010388525	False	False
P15056	0.7886308121220006	0.9271446057129771	0.0015193369624302057	19.006275274906336	False	False
P25440	0.4941703324232788	0.8021152955338123	0.001969651579424307	22.065525032926153	False	False
Q15059	0.04917434224393333	0.44087341322147117	0.012337171755429253	21.85830003812472	False	False
O60885	0.006901813903239792	0.3289864627210967	-0.005577055426677437	22.6963375212236	False	False
O43683	0.5505407943153949	0.8338850594464744	0.0032037287902883828	20.5822250922184	False	False
O60566	0.380954253594276	0.7364976139653865	0.004437042212792417	19.937075144121792	False	False
Q8IU85	0.1804646930741484	0.5982678261021482	-0.004680343909456731	20.63587508840411	False	False
Q13557	0.03435098178155753	0.40821526826283044	0.00572596174909712	24.583050005700525	False	False
Q13555	0.813991375397852	0.9368103405667816	-0.0010724356949966074	22.57121252323877	False	False
